"cor"	"component"	"abs"
"cellular bud scar"	0.617707157068562	"cellular bud scar"	0.617707157068562
"cell cortex of cell tip"	-0.410044235305969	"cell cortex of cell tip"	0.410044235305969
"clathrin-coated vesicle"	-0.114718454143123	"clathrin-coated vesicle"	0.114718454143123
"endoplasmic reticulum tubular network"	-0.971419941913385	"endoplasmic reticulum tubular network"	0.971419941913385
"rDNA heterochromatin"	0.908195317707492	"rDNA heterochromatin"	0.908195317707492
"nuclear inner membrane"	0.21610564764997	"nuclear inner membrane"	0.21610564764997
"COP9 signalosome"	-0.977097651317722	"COP9 signalosome"	0.977097651317722
"membrane-bounded organelle"	0.803756177600223	"membrane-bounded organelle"	0.803756177600223
"nuclear pore cytoplasmic filaments"	-0.097976963219124	"nuclear pore cytoplasmic filaments"	0.097976963219124
"multivesicular body"	-0.461870690889822	"multivesicular body"	0.461870690889822
"nuclear pore outer ring"	-0.457846469096262	"nuclear pore outer ring"	0.457846469096262
"signal recognition particle, endoplasmic reticulum targeting"	0.700722073437049	"signal recognition particle, endoplasmic reticulum targeting"	0.700722073437049
"clathrin vesicle coat"	-0.955181083251256	"clathrin vesicle coat"	0.955181083251256
"matrix side of mitochondrial inner membrane"	0.933695415053032	"matrix side of mitochondrial inner membrane"	0.933695415053032
"mitochondrial envelope"	0.593378616867682	"mitochondrial envelope"	0.593378616867682
