,translation_inhibitor,translation_inhibitor,translation_inhibitor,translation_inhibitor,translation_inhibitor,translation_inhibitor,translation_inhibitor,translation_inhibitor
YBR221C,0.000470949,0.000465167,0.000422821,0.000395207,0.000427386,0.000424218,0.00052226,0.000498682
YBR222C,6.04E-05,6.48E-05,5.30E-05,5.04E-05,4.83E-05,5.26E-05,2.94E-05,3.52E-05
YBR234C,0.000207014,0.000207074,0.000172369,0.000171125,0.000133719,0.000130494,0.000124382,0.000103269
YBR245C,0.000153505,0.000148221,0.000129699,0.000135227,0.000105183,9.72E-05,7.64E-05,8.10E-05
YBR247C,0.000134633,0.000137703,0.000126881,0.000129978,0.000128518,0.000121433,0.000116299,0.000122671
YBR248C,0.000925907,0.000911383,0.001023042,0.001019493,0.000953991,0.000918576,0.000877928,0.00093002
YBR249C,0.00084816,0.000913976,0.000955679,0.0008847,0.000866559,0.000843505,0.001292034,0.001302299
YBR252W,0.000126338,0.000124591,0.000107761,0.000104198,8.88E-05,9.21E-05,9.81E-05,8.86E-05
YBR256C,4.84E-05,5.07E-05,4.86E-05,4.85E-05,3.34E-05,2.46E-05,3.24E-05,2.97E-05
YBR261C,4.61E-05,4.31E-05,4.23E-05,3.88E-05,3.83E-05,4.16E-05,3.65E-05,3.64E-05
YBR263W,0.000735002,0.000734618,0.000683104,0.000695261,0.000757418,0.000765454,0.000924059,0.000946923
YBR272C,4.24E-05,4.80E-05,2.87E-05,2.91E-05,1.18E-05,1.65E-05,1.14E-05,1.10E-05
YBR281C,0.000142639,0.000137848,0.000104525,9.64E-05,6.20E-05,5.75E-05,2.09E-05,5.14E-05
YBR283C,0.000229094,0.000235032,0.000231817,0.000232326,0.000227639,0.000243703,0.000232121,0.000252502
YBR286W,0.000470279,0.000436076,0.000382964,0.000373844,0.000316484,0.000345548,0.0003193,0.000321495
YBR288C,0.000113383,0.000114631,9.13E-05,9.33E-05,6.77E-05,6.69E-05,4.23E-05,5.58E-05
YBR291C,0.000324725,0.000304279,0.000341624,0.000316896,0.000275378,0.000258891,0.00023566,0.000265652
YCL009C,0.000593487,0.000625964,0.000613284,0.000639515,0.000544126,0.000600947,0.000685247,0.000688766
YCL011C,0.000147855,0.000172068,0.000134096,0.000128771,0.000104378,0.000117454,9.55E-05,9.34E-05
YCL028W,0.000133576,0.000126689,0.00012296,0.000125495,0.000110268,0.000105284,8.04E-05,7.91E-05
YCL030C,0.002758364,0.002576306,0.003029207,0.002963314,0.002842032,0.002717455,0.003301291,0.00329623
YCL034W,4.40E-05,4.42E-05,3.72E-05,3.57E-05,2.89E-05,2.48E-05,1.77E-05,1.94E-05
YCL037C,0.000633444,0.000633986,0.000611901,0.000639367,0.000505185,0.000523544,0.000330833,0.000342269
YCL040W,0.000174743,0.000175897,9.59E-05,8.44E-05,7.77E-05,9.08E-05,5.23E-05,5.19E-05
YCL043C,0.001640471,0.00161942,0.001559074,0.001590513,0.001638889,0.001615531,0.001835317,0.001692116
YCL044C,4.70E-05,4.14E-05,4.00E-05,3.80E-05,3.12E-05,3.76E-05,2.05E-05,2.17E-05
YCL045C,6.43E-05,7.15E-05,5.47E-05,5.26E-05,5.48E-05,5.27E-05,6.23E-05,6.68E-05
YCL050C,0.000367894,0.000414387,0.000442894,0.00040949,0.000411849,0.000383235,0.000400571,0.000390336
