Systematic ID	Gene name	Product description	UniProt ID
SPCC5E4.03c	taf5	SAGA complex/TATA-binding protein associated factor/transcription factor TFIID complex subunit Taf5	O13282
SPCC16C4.18c	taf6	SAGA complex/transcription factor TFIID complex histone H4-like subunit Taf6	O74462
SPAC15A10.02	taf12	SAGA complex/transcription factor TFIID complex subunit A Taf12	O13722
SPBC21H7.02	taf10	SAGA complex/transcription factor TFIID complex subunit Taf10	O60171
SPAC12G12.05c	taf9	SAGA complex/transcription factor TFIID complex subunit Taf9	Q09869
SPBC800.02	whi5	"SBF complex transcription corepressor, Whi5"	Q9HGL9
SPAC22E12.19	snt1	Set3 complex SANT/Myb domain subunit Snt1	Q10369
SPCC1235.09	hif2	Set3 complex subunit Hif2	O74845
SPCC18.03		shuttle craft like transcriptional repressor/ubiquitin-protein ligase E3	O74853
SPMTR.01	mat2-Pc	silenced P-specific trancription factor Pc	P10841
SPMTR.02	mat2-Pi	silenced P-specific trancription factor Pi	P10842
SPBC1734.16c	pst3	SIN3 family co-repressor Pst3	O74755
SPAC8C9.14	prr1	stress-responsive DNA-binding transcription factor Prr1	O14283
SPAC9G1.13c	swc4	Swr1 complex subunit Swc4	O14308
SPAC16A10.02	sub1	transcription coactivator PC4	P87294
SPBC19G7.16	iws1	transcription elongation factor complex subunit Iws1	O42964
SPAC1B3.02c		"transcription elongation factor, Elf1 family"	O13868
SPCC645.13	bye1	"transcription elongation regulator, PHD finger Bye1"	Q9Y7V2
SPAC1002.04c	taf11	transcription factor TFIID complex subunit Taf11	Q9US54
SPAC17G8.03c	bur6	transcription regulator complex subunit Bur6	Q10315
SPBC1198.04c	zas1	transcription regulator Zas1	Q9UTS5
SPAC22H10.11c	crf1	transcriptional corepressor for ribosomal proteins via TOR signaling pathway Crf1	Q10304
SPBC23E6.09	ssn6	transcriptional corepressor Ssn6	O60184
SPAC18B11.10	tup11	transcriptional corepressor Tup11	Q09715
SPAC630.14c	tup12	transcriptional corepressor Tup12	Q9UUG8
