fold	min_protein_count	R2_cv	RMSE_cv	R2_test	RMSE_test	proteins
1	45	0.7622386125053253	0.011195570517035024	0.8193157498508344	0.01389157659519472	YBR118W;YMR145C;YPL249C-A;YOR063W;YLR075W;YOR247W;YNL007C;YCR053W;YNL178W;YLR388W;YML026C;YAL038W;YBR039W;YEL047C;YER062C;YPL231W;YPL262W;YLL024C;YJR007W;YAL005C;YJR009C;YGR211W;YNL055C;YHR174W;YDR298C;YKL114C;YCR012W;YLR044C;YOR117W;YBL022C;YLR244C;YKL150W;YJR077C;YFR011C;YOR374W;YKL060C;YHR196W;YLR257W;YBL092W;YML073C;YLR344W;YOL121C;YPR043W;YMR071C;YPR191W
1	46	0.7799525045447331	0.010806418028220455	0.8165558732401355	0.013717568275308093	YBR118W;YMR145C;YPL249C-A;YOR063W;YLR075W;YOR247W;YNL007C;YCR053W;YNL178W;YLR388W;YML026C;YNL096C;YAL038W;YBR039W;YEL047C;YER062C;YPL231W;YPL262W;YLL024C;YJR007W;YAL005C;YJR009C;YGR211W;YNL055C;YHR174W;YDR298C;YKL114C;YCR012W;YLR044C;YOR117W;YBL022C;YLR244C;YKL150W;YJR077C;YFR011C;YOR374W;YKL060C;YHR196W;YLR257W;YBL092W;YML073C;YLR344W;YOL121C;YPR043W;YMR071C;YPR191W
1	47	0.7956651293661992	0.010676696444057006	0.8389538558199247	0.012493401312796588	YBR118W;YMR145C;YPL249C-A;YOR063W;YLR075W;YOR247W;YNL007C;YCR053W;YNL178W;YLR388W;YML026C;YNL096C;YAL038W;YBR039W;YEL047C;YGL253W;YER062C;YPL231W;YPL262W;YLL024C;YJR007W;YAL005C;YJR009C;YGR211W;YNL055C;YHR174W;YDR298C;YKL114C;YCR012W;YLR044C;YOR117W;YBL022C;YLR244C;YKL150W;YJR077C;YFR011C;YOR374W;YKL060C;YHR196W;YLR257W;YBL092W;YML073C;YLR344W;YOL121C;YPR043W;YMR071C;YPR191W
1	48	0.7781543152020649	0.010510555881492106	0.8269270463468612	0.013001868874525811	YBR118W;YPR080W;YMR145C;YPL249C-A;YOR063W;YLR075W;YOR247W;YNL007C;YCR053W;YNL178W;YLR388W;YML026C;YNL096C;YAL038W;YBR039W;YEL047C;YGL253W;YER062C;YPL231W;YPL262W;YLL024C;YJR007W;YAL005C;YJR009C;YGR211W;YNL055C;YHR174W;YDR298C;YKL114C;YCR012W;YLR044C;YOR117W;YBL022C;YLR244C;YKL150W;YJR077C;YFR011C;YOR374W;YKL060C;YHR196W;YLR257W;YBL092W;YML073C;YLR344W;YOL121C;YPR043W;YMR071C;YPR191W
1	49	0.7817224662571538	0.010559454828262205	0.8189947175729413	0.012912760456014662	YBR118W;YPR080W;YMR145C;YAR007C;YPL249C-A;YOR063W;YLR075W;YOR247W;YNL007C;YCR053W;YNL178W;YLR388W;YML026C;YNL096C;YAL038W;YBR039W;YEL047C;YGL253W;YER062C;YPL231W;YPL262W;YLL024C;YJR007W;YAL005C;YJR009C;YGR211W;YNL055C;YHR174W;YDR298C;YKL114C;YCR012W;YLR044C;YOR117W;YBL022C;YLR244C;YKL150W;YJR077C;YFR011C;YOR374W;YKL060C;YHR196W;YLR257W;YBL092W;YML073C;YLR344W;YOL121C;YPR043W;YMR071C;YPR191W
1	50	0.7656027267575289	0.01057944658095397	0.8154492811950221	0.012935140641956725	YBR118W;YPR080W;YMR145C;YAR007C;YPL249C-A;YOR063W;YKL006W;YLR075W;YOR247W;YNL007C;YCR053W;YNL178W;YLR388W;YML026C;YNL096C;YAL038W;YBR039W;YEL047C;YGL253W;YER062C;YPL231W;YPL262W;YLL024C;YJR007W;YAL005C;YJR009C;YGR211W;YNL055C;YHR174W;YDR298C;YKL114C;YCR012W;YLR044C;YOR117W;YBL022C;YLR244C;YKL150W;YJR077C;YFR011C;YOR374W;YKL060C;YHR196W;YLR257W;YBL092W;YML073C;YLR344W;YOL121C;YPR043W;YMR071C;YPR191W
1	51	0.7593884245883087	0.011241694496362562	0.8181591247952503	0.01312531998469344	YBR118W;YPR080W;YMR145C;YAR007C;YPL249C-A;YOR063W;YKL006W;YLR075W;YOR247W;YNL007C;YCR053W;YNL178W;YLR388W;YML026C;YNL096C;YAL038W;YBR039W;YEL047C;YGL253W;YER062C;YPL231W;YPL262W;YJL052W;YLL024C;YJR007W;YAL005C;YJR009C;YGR211W;YNL055C;YHR174W;YDR298C;YKL114C;YCR012W;YLR044C;YOR117W;YBL022C;YLR244C;YKL150W;YJR077C;YFR011C;YOR374W;YKL060C;YHR196W;YLR257W;YBL092W;YML073C;YLR344W;YOL121C;YPR043W;YMR071C;YPR191W
1	52	0.7773446014034857	0.011250027234059592	0.8225366572529689	0.013339988952489995	YBR118W;YPR080W;YMR145C;YAR007C;YPL249C-A;YOR063W;YKL006W;YLR075W;YOR247W;YNL007C;YCR053W;YNL178W;YLR388W;YML026C;YNL096C;YAL038W;YBR039W;YEL047C;YGL253W;YER062C;YPL231W;YPL262W;YJL052W;YLL024C;YJR007W;YAL005C;YJR009C;YGR211W;YNL055C;YHR174W;YDR298C;YKL114C;YCR012W;YLR044C;YOR117W;YBL022C;YLR244C;YKL150W;YFR039C;YJR077C;YFR011C;YOR374W;YKL060C;YHR196W;YLR257W;YBL092W;YML073C;YLR344W;YOL121C;YPR043W;YMR071C;YPR191W
1	53	0.7489244270210048	0.011164552110210927	0.8245085135414666	0.013067971120216779	YBR118W;YPR080W;YMR145C;YAR007C;YPL249C-A;YOR063W;YKL006W;YLR075W;YOR247W;YNL007C;YCR053W;YNL178W;YLR388W;YML026C;YNL096C;YAL038W;YBR039W;YEL047C;YGL253W;YER062C;YPL231W;YPL262W;YGR192C;YJL052W;YLL024C;YJR007W;YAL005C;YJR009C;YGR211W;YNL055C;YHR174W;YDR298C;YKL114C;YCR012W;YLR044C;YOR117W;YBL022C;YLR244C;YKL150W;YFR039C;YJR077C;YFR011C;YOR374W;YKL060C;YHR196W;YLR257W;YBL092W;YML073C;YLR344W;YOL121C;YPR043W;YMR071C;YPR191W
1	54	0.7286641478771861	0.011189266128202322	0.8347102899671143	0.013024829137668005	YBR118W;YPR080W;YMR145C;YAR007C;YPL249C-A;YOR063W;YKL006W;YLR075W;YOR247W;YNL007C;YCR053W;YNL178W;YLR388W;YML026C;YNL096C;YAL038W;YBR039W;YEL047C;YGL253W;YER062C;YPL231W;YPL262W;YGR192C;YJL052W;YLL024C;YJR007W;YAL005C;YJR009C;YGR211W;YNL055C;YHR174W;YDR298C;YKL114C;YCR012W;YLR044C;YPR002W;YOR117W;YBL022C;YLR244C;YKL150W;YFR039C;YJR077C;YFR011C;YOR374W;YKL060C;YHR196W;YLR257W;YBL092W;YML073C;YLR344W;YOL121C;YPR043W;YMR071C;YPR191W
1	55	0.7039203936272366	0.011094522840143518	0.8581401613365677	0.012973639520073115	YBR118W;YPR080W;YMR145C;YAR007C;YPL249C-A;YOR063W;YKL006W;YLR075W;YOR247W;YNL007C;YCR053W;YNL178W;YLR388W;YML026C;YNL096C;YAL038W;YBR039W;YEL047C;YGL253W;YER062C;YPL231W;YPL262W;YGR192C;YJL052W;YLL024C;YJR007W;YAL005C;YJR009C;YGR211W;YNL055C;YHR174W;YDR298C;YKL114C;YCR012W;YLR044C;YPR002W;YOR117W;YBL022C;YLR244C;YKL150W;YFR039C;YJR077C;YFR011C;YOR374W;YKL060C;YHR196W;YDL185W;YLR257W;YBL092W;YML073C;YLR344W;YOL121C;YPR043W;YMR071C;YPR191W
