sampleID	source	Ref	Simultation_with_ETFL	Strain	growth_mode	condition_detail	growth_media	dilution rate (/h)	qGlucose (mmol/gDW h)	qNH4 (mmol/gDW h)	qGln (mmol/gDW h)	qPhe (mmol/gDW h)	qIle (mmol/gDW h)	qNitrogen (mmol/gDW h)	qEtOH (mmol/gDW h)	qAce (mmol/gDW h)	qPyr (mmol/gDW h)	qSuc (mmol/gDW h)	qGlycerol (mmol/gDW h)	qCO2 (mmol/gDW h)	qO2 (mmol/gDW h)	glucose.H2O concentration (g/L)	Nitrogen source	nitrogen source concentration (g/L)	limiting nutrient	C/N ratio	experiment subset	total RNA content (g/gDW)	total protein content (g/gDW)	extra notes
prot.40	sysbio	https://doi.org/10.7554/eLife.65722	YES	"S. cerevisiae  (MATa, MAL2-8c, SUC2)"	chemostat	miu=0.1@Ile@N_limit@C_N_ratio=30	minimal mineral medium 	0.1	1.451				0.292	0.292	0.165977836	0.066479359	0.6081929	0	0.02572525	4.18	4.013	7.5	Ile	0.98	N	30	NM	0.024762	0.439981857	
prot.41	sysbio	https://doi.org/10.7554/eLife.65722	YES	"S. cerevisiae  (MATa, MAL2-8c, SUC2)"	chemostat	miu=0.1@Ile@N_limit@C_N_ratio=30	minimal mineral medium 	0.1	1.709				0.339	0.339	0.06017435	0.078079274	0.668678714	0	0.035868013	4.902	4.45	7.5	Ile	0.98	N	30	NM	0.021912	0.448355214	
prot.42	sysbio	https://doi.org/10.7554/eLife.65722	YES	"S. cerevisiae  (MATa, MAL2-8c, SUC2)"	chemostat	miu=0.1@Ile@N_limit@C_N_ratio=30	minimal mineral medium 	0.1	1.622				0.329	0.329	0.183622901	0.16825845	0.922716346	0	0.048272587	4.562	4.23	7.5	Ile	0.98	N	30	NM	0.024762	0.42361575	
mmol/gDW_Tyler_D0.1	sysbio	doi: 10.1038/s41467-020-16073-3	NO	S. cerevisiae	chemostat			0.1																						
Min_aerobic_1	sysbio	www.pnas.org/cgi/doi/10.1073/pnas.1921890117	YES	S. cerevisiae	batch	Min_ave_aerobic(mmol/gDW)	minimal mineral medium 	0.4065385	-13.20185						15.97910								NH4							
Min_aerobic_2	sysbio	www.pnas.org/cgi/doi/10.1073/pnas.1921890117	YES	S. cerevisiae	batch	Min_ave_aerobic(mmol/gDW)	minimal mineral medium 	0.4065385	-13.20185						15.97910								NH4							
Rich_aerobic_1	sysbio	www.pnas.org/cgi/doi/10.1073/pnas.1921890117	YES	S. cerevisiae	batch	Rich_ave_aerobic(mmol/gDW)	minimal mineral medium with the addition of the following amino acids: 0.19 g/L L-arginine; 0.4 g/L L-aspartate; 1.26 g/L L-glutamate; 0.13 g/L L-glycine; 0.14 g/L L-histidine; 0.29 g/L L-isoleucine; 0.4 g/L L-leucine; 0.44 g/L L-lysine; 0.108 g/L L-methionine; 0.2 g/L L-phenylalanine; 0.22 g/L L-threonine; 0.04 g/L L-tryptophan; 0.052 g/L L-tyro- sine; 0.38 g/L L-valine. 	0.4483778	-12.97245						17.64213								NH4							
Rich_aerobic_2	sysbio	www.pnas.org/cgi/doi/10.1073/pnas.1921890117	YES	S. cerevisiae	batch	Rich_ave_aerobic(mmol/gDW)	minimal mineral medium with the addition of the following amino acids: 0.19 g/L L-arginine; 0.4 g/L L-aspartate; 1.26 g/L L-glutamate; 0.13 g/L L-glycine; 0.14 g/L L-histidine; 0.29 g/L L-isoleucine; 0.4 g/L L-leucine; 0.44 g/L L-lysine; 0.108 g/L L-methionine; 0.2 g/L L-phenylalanine; 0.22 g/L L-threonine; 0.04 g/L L-tryptophan; 0.052 g/L L-tyro- sine; 0.38 g/L L-valine. 	0.4483778	-12.97245						17.64213								NH4							
Min_anaerobic_1	sysbio	www.pnas.org/cgi/doi/10.1073/pnas.1921890117	YES	S. cerevisiae	batch	Min_ave_anaerobic(mmol/gDW)	"minimal mineral medium_additionally contained 0.0104 g/L ergosterol and 0.42 g/L Tween80 that had been dissolved in pure ethanol. Subsequently, medium used for anaerobic conditions contained 2.85 g/L ethanol"	0.3272347	-18.39499						27.15705				3.670184				NH4							
Min_anaerobic_2	sysbio	www.pnas.org/cgi/doi/10.1073/pnas.1921890117	YES	S. cerevisiae	batch	Min_ave_anaerobic(mmol/gDW)	"minimal mineral medium_additionally contained 0.0104 g/L ergosterol and 0.42 g/L Tween80 that had been dissolved in pure ethanol. Subsequently, medium used for anaerobic conditions contained 2.85 g/L ethanol"	0.3272347	-18.39499						27.15705				3.670184				NH4							
